county	state_abbrev	crime_rate_per_100000	MURDER	ROBBERY	BURGLRY
Nueces	TX	616.5739392	18	392	2723
Sedgwick	KS	615.5337693	24	513	4575
Edgecombe	NC	615.3956886	3	61	735
Montgomery	KS	615.303861	1	17	303
Caddo Parish	LA	614.7822368	17	436	2642
Graham	AZ	613.6278747	1	0	119
Madera	CA	612.9051309	2	139	1654
Sebastian	AR	612.5237549	6	97	1261
Emanuel	GA	612.2359732	2	14	253
Camden	NJ	610.3101467	71	1182	3986
Nye	NV	609.9723385	0	26	334
Greenlee	AZ	607.8019671	1	1	37
Alachua	FL	605.2451953	10	253	1917
Union	AR	604.5117216	1	36	522
Peoria	IL	603.941007	14	347	1809
Madison	AL	603.3578174	18	523	3217
Calhoun	MI	602.1686961	11	112	1405
Williamsburg	SC	601.8084495	4	39	440
Roberts	TX	601.6847172	0	0	1
Bradley	TN	600.895452	1	54	681
Anderson	SC	600.0807801	18	157	2438
Denver	CO	599.0808243	39	1170	5152
Chester	SC	598.5634477	2	25	389
Lowndes	AL	597.9631879	1	8	117
Willacy	TX	597.6004744	0	4	226
Cook	IL	596.6569351	566	15583	34233
Clark	IN	593.2458517	3	73	954
DeKalb	GA	592.9851123	80	2140	10669
Potter	TX	592.6303417	5	154	1218
Arkansas	AR	591.1487458	0	24	339
Chicot	AR	591.0895457	0	8	83
Cochise	AZ	590.856781	4	52	713
Wyandotte	KS	590.457901	16	286	1834
Turner	GA	590.1155643	0	4	46
Lake	CA	588.7879737	3	60	766
Luna	NM	588.020601	0	6	243
Manatee	FL	585.7833537	26	388	2720
Hampden	MA	583.3274487	11	788	4570
Haralson	GA	582.5583436	1	4	310
New Castle	DE	581.7888096	46	1167	4310
Calhoun	AL	580.7976974	6	131	1710
Jackson	IL	580.1317417	1	53	488
St. James Parish	LA	579.2570798	1	9	128
Sullivan	TN	578.5625339	3	70	1077
Greenville	SC	577.3131534	20	451	4000
Concordia Parish	LA	577.2429312	2	5	142
Jefferson	KY	576.7462264	78	1557	8103
Kern	CA	575.8432818	65	1313	10931
Clayton	GA	575.2781773	28	693	4477
Plumas	CA	572.6708733	0	1	143
Emporia city	VA	572.6556908	0	5	71
Kershaw	SC	571.0538102	2	26	663
Mecosta	MI	570.6597383	0	0	181
Natchitoches Parish	LA	569.7787317	4	24	518
Eddy	NM	569.6670332	7	19	628
Union	SC	567.2493757	2	20	270
West Carroll Parish	LA	566.9428696	0	0	49
Vermilion	IL	565.1757149	4	88	955
Rio Arriba	NM	563.9848273	1	38	401
Cumberland	NC	562.7993899	30	728	6378
Hardeman	TN	562.6092907	4	11	225
Independence	AR	562.2077466	0	16	601
St. Mary Parish	LA	562.1649889	1	41	412
Chambers	AL	562.0279843	1	24	374
Tehama	CA	561.3968314	3	36	451
Brooks	GA	560.7115236	0	10	117
Champaign	IL	560.2815073	4	226	1571
Glynn	GA	559.4542867	6	125	957
Petersburg city	VA	559.3459955	5	59	395
Norfolk city	VA	558.2211677	34	502	2327
Henderson	IL	557.9399142	0	1	69
Sierra	CA	557.9258287	0	0	16
East Carroll Parish	LA	557.843007	3	3	57
Claiborne	TN	557.6679341	1	13	369
Mecklenburg	NC	556.9251355	54	1886	8340
Del Norte	CA	556.0937108	1	24	288
Prince George's	MD	555.679764	63	2450	6050
Lafayette Parish	LA	554.917802	17	267	2110
Butler	MO	554.7431702	1	35	446
Sumter	AL	553.8507597	1	4	99
Maury	TN	552.7632192	5	45	518
Mobile	AL	552.3100664	46	661	4458
St. Landry Parish	LA	551.2018597	7	69	823
Cumberland	NJ	551.0639921	7	316	2033
Tift	GA	551.0599216	5	45	369
Pinellas	FL	550.6712247	44	1206	7392
Roanoke city	VA	550.4493983	9	141	939
Clarendon	SC	550.1382623	1	31	352
Chaves	NM	549.9597405	8	48	756
Quitman	GA	549.2184199	0	0	18
Wicomico	MD	549.080241	5	148	764
Sacramento	CA	547.6937429	79	2560	11383
Andrews	TX	547.6516459	1	0	78
Stanislaus	CA	547.107372	38	788	5551
Spalding	GA	546.7734102	3	82	797
Victoria	TX	543.1643489	6	50	761
St. Francis	AR	542.9200293	4	45	465
Wirt	WV	542.2809693	0	0	42
Halifax	NC	540.6618899	7	55	732
Jeff Davis	GA	539.8560384	1	3	115
Cecil	MD	538.6947691	2	119	870
Brevard	FL	537.9223453	30	505	3945
Butler	AL	537.8731804	6	11	182
Montgomery	TN	536.6094754	12	104	1171
Beaufort	SC	536.5518686	12	146	1299
Forsyth	NC	535.9614639	8	469	5413
Fresno	CA	534.2980847	76	1410	10493
Kent	DE	534.1880342	4	161	1230
Howard	TX	533.9308933	3	12	303
Putnam	GA	533.4331571	0	13	173
Morgan	MO	532.938564	3	1	154
Anson	NC	531.3252552	1	30	508
Allen	OH	530.8742806	8	120	1042
Clinch	GA	529.8013245	2	8	75
Wilkes	GA	529.4705295	1	1	50
Muskegon	MI	529.2150075	4	192	1800
Lincoln	WV	528.7814834	2	9	226
Gadsden	FL	528.2071265	5	25	444
Bullock	AL	526.3652599	0	12	98
Dauphin	PA	525.2143487	18	527	1533
Hill	MT	525.1086432	0	1	40
Bibb	GA	524.1693112	24	292	2395
Knox	TN	522.4662747	25	612	4205
Vance	NC	522.2281735	11	97	1029
Bryan	OK	522.1046922	1	9	366
Cuyahoga	OH	521.2349405	99	3719	12781
Taney	MO	520.7652823	0	26	351
Martin	NC	519.0092409	3	32	425
McMinn	TN	517.7585449	0	37	483
Dallas	AR	516.8284382	2	7	80
Delaware	PA	516.0390268	30	849	2309
Ward	TX	515.8306652	2	2	70
Gibson	TN	515.5994096	0	21	367
Bristol	MA	515.394913	6	692	3653
Oconee	SC	514.3580518	5	17	662
Etowah	AL	513.8024266	2	126	1241
Pontotoc	OK	513.2659507	3	11	292
Monroe	FL	512.1085513	3	66	638
Gonzales	TX	512.0126034	2	4	166
Abbeville	SC	511.8566801	0	12	216
Galax city	VA	511.7270789	0	1	17
Dorchester	MD	508.2669933	1	36	296
Lawrence	PA	508.2108515	4	93	635
Ben Hill	GA	508.1358835	0	12	180
Kings	CA	508.081611	4	106	813
Baltimore	MD	508.0101821	24	1368	4083
Des Moines	IA	506.4229249	3	20	339
Okeechobee	FL	505.9750826	0	30	550
Lancaster	SC	504.6111014	13	68	884
Lee	IA	504.4560283	0	5	254
Calcasieu Parish	LA	504.3626086	12	241	3762
Randall	TX	503.6608315	6	126	1094
St. Charles Parish	LA	503.6395081	2	32	409
Baldwin	GA	501.7485176	2	15	359
Pueblo	CO	501.7002063	8	199	1962
Cherokee	TX	501.1989465	2	25	436
McNairy	TN	501.1476664	0	5	153
Lea	NM	501.0137816	4	28	729
Franklin	AL	497.9068882	0	13	216
Geary	KS	497.5390541	1	13	166
Tallapoosa	AL	497.5365871	3	17	296
DeWitt	TX	497.4881725	0	5	124
Bay	FL	497.1797905	9	168	1558
Scotland	NC	496.8771686	7	33	761
St. Helena Parish	LA	496.5517241	0	2	87
Washington Parish	LA	495.4867619	6	36	552
Calhoun	TX	495.2765294	0	3	191
Johnson	TN	495.0770429	2	2	96
Valencia	NM	492.8949714	4	18	822
Gregg	TX	492.5868123	7	145	1241
Kleberg	TX	492.1965048	1	18	370
Sheridan	MT	490.7306434	0	0	7
Muscogee	GA	490.5731077	17	424	2712
Nantucket	MA	490.4317723	0	2	51
Decatur	TN	488.80885	0	3	97
Osceola	FL	488.4356659	8	209	2801
York	SC	488.3795741	10	167	1090
Shawnee	KS	488.1703955	19	244	1585
Pennington	SD	486.9469842	5	55	716
Ingham	MI	485.4128135	13	237	1971
Cloud	KS	484.2875592	0	0	88
Bradford	FL	484.1713222	0	6	179
Douglas	NE	483.3822237	41	824	3684
Colbert	AL	482.3917828	2	34	636
Passaic	NJ	481.7351959	30	1213	3093
Gray	TX	481.7081109	0	6	269
Portsmouth city	VA	481.2639676	11	181	1220
Monroe	AL	481.201655	0	8	129
Union	NM	480.5491991	0	2	77
Hardin	TN	480.1413536	1	12	282
Clarke	AL	480.0253898	0	12	172
Pointe Coupee Parish	LA	480.0213343	0	4	111
Crenshaw	AL	479.0504791	1	3	85
Marion	FL	479.010677	21	162	1989
Palm Beach	FL	478.6575434	74	1883	10230
Pima	AZ	478.147697	56	1481	8284
Multnomah	OR	477.461544	24	1170	5621
Georgetown	SC	476.5056254	4	31	710
Chesterfield	SC	476.2213997	2	21	362
Crisp	GA	475.6599246	3	44	333
Pottawatomie	OK	473.593974	4	22	659
De Baca	NM	471.9454641	0	0	9
Calhoun	SC	471.6041182	0	9	221
Radford city	VA	471.3687151	1	8	108
Broward	FL	470.9480521	80	3408	17400
Raleigh	WV	470.6150977	9	99	1054
San Miguel	NM	469.5000175	0	8	155
Muscatine	IA	469.2314875	0	7	259
Dimmit	TX	468.0187207	0	2	167
Lincoln	TN	466.8034371	2	6	196
Okaloosa	FL	464.3699274	2	108	920
Reno	KS	464.2467674	2	26	637
Decatur	GA	464.1982529	3	11	254
Hamblen	TN	462.948283	0	58	374
McCurtain	OK	462.7249357	0	10	311
Ramsey	MN	462.49008	15	730	4257
Tulare	CA	462.4094173	33	412	4364
Ouachita Parish	LA	462.1687364	11	175	2149
Marengo	AL	461.4239643	3	9	148
Hampshire	WV	460.6525912	0	2	97
Clinton	IA	460.5534903	0	21	356
Barrow	GA	460.4425287	0	22	409
Erie	NY	459.3060294	50	1602	6019
Coffee	TN	459.1712428	2	17	356
Richmond	NC	459.0022627	8	49	974
Bourbon	KS	457.8507945	0	1	136
Atlantic	NJ	457.4751144	30	479	1794
White Pine	NV	457.3928607	0	1	61
Sussex	DE	457.297156	6	170	1850
Kanawha	WV	455.3653117	11	148	1540
Meigs	TN	454.9746759	2	1	75
Richmond	GA	454.9437385	28	546	3186
Iron	MO	454.3696829	1	3	47
Newberry	SC	453.0796088	1	22	264
Morris	TX	451.9245753	0	4	114
Florence	SC	451.8311814	6	133	1466
Hunt	TX	451.4750482	1	65	869
Roosevelt	NM	451.0147833	0	3	219
Claiborne Parish	LA	450.4504505	0	6	131
Canadian	OK	450.3540195	7	107	1200
Schenectady	NY	450.0009657	7	227	1059
Liberty	TX	449.8940279	1	36	544
Russell	AL	449.7776286	2	70	776
Inyo	CA	449.4503709	0	4	103
Saluda	SC	447.9617739	0	6	160
Lawrence	MO	447.8198245	1	6	330
Charlottesville city	VA	446.4587702	2	50	165
Hamilton	OH	445.8559141	58	2077	8318
Los Angeles	CA	444.800814	600	18923	49107
Mercer	NJ	444.6376217	26	760	2447
Rutherford	TN	444.0822833	6	195	1694
Walker	AL	443.9528471	2	56	780
Leavenworth	KS	443.8191469	0	34	464
Scott	IA	443.70103	4	156	1059
Benton	MO	443.6932178	1	4	191
Putnam	TN	443.3866032	0	34	711
Dallas	TX	442.965072	165	4889	25141
Anne Arundel	MD	442.1108318	13	538	2588
Guilford	NC	441.7599337	28	753	5151
Iron	WI	441.7261298	0	0	21
Hudson	NJ	441.3265847	15	1323	2664
Jefferson Parish	LA	440.2358045	37	501	3124
Grenada	MS	439.5706089	7	21	278
Catahoula Parish	LA	439.5389725	3	9	46
Franklin	OH	438.0237622	80	3296	16769
Alamance	NC	436.5907059	4	138	1438
Madison Parish	LA	435.9855789	0	2	99
Gulf	FL	435.908775	1	5	125
Monroe	TN	435.2148459	5	10	337
Randolph	WV	435.1521333	2	5	158
Monterey	CA	435.1415259	45	706	2912
Washington	AR	434.8227901	7	70	1285
Laclede	MO	434.5753778	1	5	158
Solano	CA	434.5697148	28	659	4322
Wilbarger	TX	434.0872744	1	1	89
Sweetwater	WY	433.2736477	3	5	120
Hemphill	TX	432.9004329	0	0	16
San Bernardino	CA	432.4902041	102	2923	18788
Forest	PA	432.4465994	2	0	83
Tuscaloosa	AL	432.2257134	10	234	1932
Berrien	MI	432.2005514	3	111	1188
DeSoto	FL	431.6713503	1	30	319
Spartanburg	SC	431.3174256	10	233	2450
Volusia	FL	431.3099042	19	422	4095
Bexar	TX	431.0605685	101	2038	18580
Worcester	MA	430.9694898	14	631	4731
Wichita	TX	430.1498709	6	154	1439
Clay	AL	430.075634	0	3	26
Black Hawk	IA	430.0393826	5	75	1061
Webb	TX	429.3415113	8	187	1825
Lawrence	TN	428.6734937	2	8	363
Pierce	WA	428.3049688	38	910	9180
Polk	GA	427.3608042	3	49	580
Kent	MD	426.1933414	0	21	113
Cowley	KS	425.3673627	0	4	259
Barton	KS	425.3153513	0	8	237
Hockley	TX	424.9893753	1	9	223
Schoolcraft	MI	424.3967503	0	1	71
Webster	IA	423.8203218	0	16	241
Rusk	TX	423.3337063	0	24	381
Jackson	FL	423.1225216	0	27	245
Warren	IL	423.1073	0	2	133
Cumberland	TN	422.8587339	2	22	581
Stone	MO	421.7656644	1	1	160
McLennan	TX	421.5652577	9	218	2237
Trousdale	TN	421.5636178	0	1	31
Barnstable	MA	421.4149495	1	79	2223
Coffee	GA	421.101342	4	55	479
Winkler	TX	420.7204838	0	1	17
Wayne	NC	420.603132	20	108	1576
La Salle Parish	LA	419.5709549	0	0	24
White	TN	419.1434233	1	6	169
Stonewall	TX	418.9944134	0	0	2
Tipton	TN	418.9263794	5	32	368
Brazos	TX	418.8734225	5	109	1287
Dorchester	SC	418.1654367	8	129	973
Finney	KS	417.812281	0	12	150
Newport News city	VA	416.9871443	21	271	1038
Jasper	MO	416.673826	3	71	1054
Tarrant	TX	416.156389	73	2167	16077
Cherokee	AL	415.9829027	1	2	329
Cole	MO	415.9115503	2	41	332
Desha	AR	415.8336665	0	8	106
Hopewell city	VA	415.1062582	2	32	209
Lake	IN	414.6861571	62	685	4241
Orangeburg	SC	414.5499329	13	117	1353
Huerfano	CO	414.1739531	0	6	47
Pike	AL	413.929632	4	21	316
Polk	MO	413.2498224	1	2	215
Oglethorpe	GA	412.4278251	1	4	112
Zavala	TX	411.319513	1	2	58
Dale	AL	410.9534119	1	32	325
Dallam	TX	410.9394927	1	1	51
Mendocino	CA	410.5881274	6	46	563
Vernon	MO	410.5207886	0	9	242
Lassen	CA	410.4094767	1	11	166
Maricopa	AZ	410.2097764	208	5341	32859
Hennepin	MN	410.0842691	49	2083	7820
Allegheny	PA	409.4916311	81	1732	5727
Ellis	KS	409.4835002	0	8	114
Ware	GA	408.8605114	3	44	309
Childress	TX	408.7385483	0	1	36
Hidalgo	NM	408.2509669	0	4	9
Bartow	GA	407.8085966	2	38	1032
Hardin	IL	406.6012916	0	1	1
Clay	FL	406.3157144	7	86	842
Elkhart	IN	405.8575111	8	149	1247
Washington	TN	404.632565	1	60	1004
Bell	TX	402.9457568	17	348	2792
Cedar	MO	402.5012578	0	4	99
Charleston	SC	402.3572772	26	348	1876
Camden	GA	402.1291476	2	23	343
Greene	TN	401.3652277	5	41	626
Houston	AL	401.2810125	7	108	1095
Curry	NM	401.2016285	4	22	729
Contra Costa	CA	400.6561842	56	1603	8556
Wilson	NC	400.406529	9	78	895
Wharton	TX	400.3299689	1	24	296
Mariposa	CA	399.8873557	3	2	93
Montgomery	OH	399.5550961	32	933	5833
Pitt	NC	399.3963148	11	207	1763
La Paz	AZ	398.5435938	0	2	151
Monroe	PA	398.4492785	4	95	1202
Fredericksburg city	VA	398.1231338	2	21	87
Massac	IL	398.0627612	1	3	45
Logan	WV	397.3657154	3	8	117
Montgomery	AL	396.6310625	45	465	3656
Lake	MT	396.319399	1	1	134
Pulaski	MO	396.2938156	3	18	349
Kent	MI	395.6892392	22	639	3878
Sequatchie	TN	395.0684558	0	3	114
Robertson	TN	394.7583218	3	53	305
Henry	MO	394.3968448	0	3	227
Clarke	GA	394.1780398	5	162	1193
Dunklin	MO	394.172553	0	11	325
St. Lucie	FL	393.958833	7	223	2001
Uvalde	TX	393.6715442	3	3	181
Franklin city	VA	393.6096319	1	11	40
New Haven	CT	392.9086256	33	1351	4218
McMullen	TX	392.6701571	0	0	9
Walker	TX	392.3449148	1	15	434
Bacon	GA	392.296719	0	12	43
Smith	TX	391.9844502	6	115	1890
Warren	MS	391.9698038	2	31	368
New Hanover	NC	391.5279907	9	300	2447
Harvey	KS	391.4682939	0	5	236
El Paso	TX	391.4376636	28	507	2361
Garland	AR	388.9969436	10	63	1612
Sierra	NM	388.8696854	1	1	86
Yuba	CA	388.6010363	6	39	612
Henry	AL	387.372803	4	6	140
Lincoln	GA	387.0468327	0	4	59
Clark	AR	386.9322429	5	4	201
Colquitt	GA	386.8179363	4	41	403
Roosevelt	MT	386.5168539	0	1	51
Santa Cruz	CA	386.3870031	10	220	1633
Bienville Parish	LA	386.2384665	0	5	60
Macon	IL	386.17105	6	111	1090
Jennings	IN	385.9636698	0	0	310
Chatham	GA	385.7287544	24	537	2458
Shannon	MO	385.6815717	0	0	28
Jackson	AL	385.2618459	0	2	452
Caddo	OK	385.2132189	1	3	178
Adams	IA	385.2080123	0	0	11
Liberty	GA	385.1251267	2	41	601
Panola	MS	383.6986222	5	6	627
Bedford	TN	383.4339121	1	16	236
Vermilion Parish	LA	383.1029653	7	32	458
Buchanan	MO	382.6800995	1	93	1065
Terrebonne Parish	LA	382.2650312	5	100	764
Ford	KS	381.9753583	2	16	300
Angelina	TX	381.9718439	5	53	789
Berkeley	SC	381.9193898	16	134	1425
Irwin	GA	381.8818288	0	0	73
Niagara	NY	381.7987482	4	207	1437
DeKalb	AL	381.6202667	0	9	558
Stephens	GA	381.5753611	4	15	161
Livingston Parish	LA	381.1925134	1	60	938
Navarro	TX	380.9484158	0	37	579
Giles	TN	379.1831907	1	13	210
El Paso	CO	379.058506	20	566	4680
Butler	OH	378.9674417	10	305	3621
Jasper	TX	378.6922494	2	7	201
Pickens	SC	378.0387052	9	41	1017
Warren	TN	377.8306018	1	9	262
Elbert	GA	377.5702842	2	9	204
Summit	OH	377.428833	27	656	4547
Santa Barbara	CA	377.0969275	6	311	2430
Terrell	GA	376.8565728	2	1	81
San Benito	CA	376.7361111	1	33	357
Scott	KY	376.3989829	1	33	352
Charles	MD	376.1513502	6	154	615
Allendale	SC	376.0544771	0	4	151
Grimes	TX	376.0378272	1	8	187
Kalamazoo	MI	375.8885967	13	223	1635
Crawford	GA	375.8797185	1	6	162
Washoe	NV	375.8089692	12	411	2626
Assumption Parish	LA	375.2102471	2	7	96
Onondaga	NY	374.9036587	15	539	2988
Rock Island	IL	374.8523	4	80	721
Gaston	NC	374.8448095	6	194	1826
Anderson	TX	374.5382996	3	23	427
Essex	MA	374.1394007	8	561	2930
Atkinson	GA	373.9445115	1	4	72
Henderson	TX	373.6892278	2	18	657
Wyoming	WV	373.6044137	1	7	131
Hart	GA	373.3396212	0	6	200
Campbell	TN	372.7819474	1	25	591
Winston	AL	372.7325437	1	3	177
Douglas	KS	372.6316894	0	57	745
Mason	IL	371.9820326	0	3	46
Kent	TX	371.7472119	0	0	5
Sunflower	MS	371.4683716	2	28	275
Cass	MN	371.2134477	3	1	216
Columbus	NC	370.3315515	4	55	959
Fayette	KY	369.9404723	16	618	3087
Seminole	GA	368.921185	1	4	55
San Diego	CA	368.6724057	107	3200	14076
Williams	ND	368.305457	1	2	92
Brown	TX	368.2216747	3	10	214
Kay	OK	368.1546249	0	33	323
Taylor	TX	367.5894928	3	126	1083
Musselshell	MT	367.249946	0	0	11
Spokane	WA	366.5013204	18	658	6147
Mercer	WV	366.2235416	5	34	523
Rhea	TN	366.0074432	0	8	201
Marshall	IA	365.9072059	1	6	319
Chesapeake city	VA	365.1803566	12	202	1044
Morgan	TN	365.0467716	2	4	161
Plymouth	MA	365.0020422	7	307	2429
Boone	MO	364.8117677	3	180	1023
Lancaster	NE	364.6022704	4	201	1755
Allegany	MD	364.5217013	3	42	571
Caldwell	TX	364.4983687	0	15	223
Monroe	AR	364.4884145	1	5	57
Pratt	KS	364.4462442	0	1	64
Mahoning	OH	364.3065135	25	311	2855
Scurry	TX	364.1197549	1	4	108
Glacier	MT	363.9275056	1	0	39
Dixie	FL	363.8644918	0	5	213
Oregon	MO	363.7686431	1	1	38
Reynolds	MO	363.6914684	3	0	33
Jackson	AR	363.3267102	0	15	235
Newton	GA	363.1181305	5	54	986
Lamar	TX	362.1575689	5	37	441
Cape Girardeau	MO	362.131402	3	68	691
Sonoma	CA	362.0019191	4	232	1826
Drew	AR	361.9909502	1	5	151
Bladen	NC	361.6221336	2	20	454
Walton	FL	361.1617369	1	18	375
Worcester	MD	360.3254553	1	31	432
Poinsett	AR	360.3230483	2	7	217
Lincoln	OR	360.3020496	0	16	320
Yakima	WA	359.4501384	19	218	3051
Washington	IA	358.8462412	0	1	61
Atchison	KS	358.2303421	0	6	112
Robertson	TX	357.8794128	0	5	126
Rockdale	GA	357.8043926	1	56	804
Navajo	AZ	357.8017555	3	13	659
Fannin	GA	357.7441077	0	2	172
Henry	VA	357.2989718	5	28	380
Franklin	IL	357.1246365	0	9	257
Gilpin	CO	357.079093	0	0	28
Floyd	GA	356.9154987	5	56	903
Monroe	NY	356.854134	41	1011	4968
Amador	CA	355.9790794	0	14	241
Ouachita	AR	355.9715223	2	11	240
Boone	AR	355.653011	1	3	292
Orange	TX	355.6059163	1	47	675
Santa Fe	NM	355.4397889	6	136	2735
Pasquotank	NC	355.1687051	3	39	348
Chilton	AL	354.9407294	0	14	389
Suwannee	FL	354.415329	1	17	337
Hillsborough	FL	353.8307404	53	1130	7139
Obion	TN	353.3455398	0	12	220
St. Martin Parish	LA	353.2567629	3	16	185
Floyd	TX	353.1300161	1	1	41
Williamson	IL	352.6388142	0	14	507
Juneau City and Borough	AK	352.1126761	0	16	94
